name,iso_a3,X,Y
Zimbabwe,ZWE,29.851013379676168,-18.997046809067218
Zambia,ZMB,27.808581875598183,-13.455525493308903
Yemen,YEM,47.567787255202546,15.91728068185997
Vietnam,VNM,106.34650781487963,16.54429751476791
Venezuela,VEN,-66.17054441322725,7.122274077470279
Vatican,VAT,12.433871744148018,41.90174986291686
Vanuatu,VUT,167.67534594617393,-16.216969032855616
Uzbekistan,UZB,63.303092552350606,41.775400752503636
Uruguay,URY,-56.025205737611664,-32.79134091244499
Micronesia,FSM,153.32271851977063,7.530892089578006
Marshall Is.,MHL,170.3425825338775,7.00279122625452
N. Mariana Is.,MNP,145.61809472646888,15.817113996134827
U.S. Virgin Is.,VIR,-64.80287132247226,17.954567860767327
Guam,GUM,144.76785188051147,13.441629384256666
American Samoa,ASM,-170.7180188762607,-14.304466317458697
Puerto Rico,PRI,-66.47306823110844,18.228579936088867
United States of America,USA,-103.62956280974424,44.74373159082126
S. Geo. and the Is.,SGS,-36.48742477585991,-54.46339255850537
Br. Indian Ocean Ter.,IOT,72.44541071632787,-7.33059326070352
Saint Helena,SHN,-9.674197527779427,-12.379242477469317
Pitcairn Is.,PCN,-128.31704433549098,-24.365003168102763
Anguilla,AIA,-63.064999686760714,18.22397259712944
Falkland Is.,FLK,-59.34988334557831,-51.74644131596165
Cayman Is.,CYM,-80.91349419009491,19.4298043928056
Bermuda,BMU,-64.75460022773382,32.31367806965704
British Virgin Is.,VGB,-64.4716169707363,18.52581269511758
Turks and Caicos Is.,TCA,-71.97390656305255,21.83062186799524
Montserrat,MSR,-62.18518502900228,16.73941241603232
Jersey,JEY,-2.126890720098209,49.21838745399699
Guernsey,GGY,-2.572404405927173,49.46810377684474
Isle of Man,IMN,-4.539038534130213,54.22409591387426
United Kingdom,GBR,-2.758142056330439,54.01164974612877
United Arab Emirates,ARE,54.29266977356909,23.905320327121004
Ukraine,UKR,31.315583848435377,49.19560823173951
Uganda,UGA,32.36866536956964,1.274231547393379
Turkmenistan,TKM,59.44642235988091,39.12547070992735
Turkey,TUR,35.1728012164006,39.13701331043797
Tunisia,TUN,9.556128801622371,34.088955486452505
Trinidad and Tobago,TTO,-61.26590185083753,10.45717257448732
Tonga,TON,-174.80193119751326,-20.420512756907403
Togo,TGO,0.963859659570673,8.520779784822718
Timor-Leste,TLS,125.84510782838684,-8.829321657923044
Thailand,THA,101.00064849829911,15.082584951953617
Tanzania,TZA,34.80181064134596,-6.268247790104617
Tajikistan,TJK,71.02685401923208,38.536549030717254
Taiwan,TWN,120.95146559018619,23.750204208294114
Syria,SYR,38.48446214064039,35.01677732587028
Switzerland,CHE,8.206281998124156,46.79889642719673
Sweden,SWE,16.26695018056198,62.38365607424293
eSwatini,SWZ,31.48186961105198,-26.557546489339305
Suriname,SUR,-55.91243117427252,4.129848287854486
S. Sudan,SSD,30.2513338314292,7.3086969454213575
